v8-version,8,1,307,31,-node.33,0
code-creation,Builtin,3,2000,0x7ff75b18f670,36,Abort
code-creation,Builtin,3,2000,0x7ff75b18f6b0,36,AbortCSAAssert
code-creation,Builtin,3,2000,0x7ff75b18f6f0,12,EmptyFunction
code-creation,Builtin,3,2000,0x7ff75b18f710,12,Illegal
code-creation,Builtin,3,2000,0x7ff75b18f730,12,StrictPoisonPillThrower
code-creation,Builtin,3,2000,0x7ff75b18f750,12,UnsupportedThrower
code-creation,Builtin,3,2000,0x7ff75b18f770,65,ReturnReceiver
code-creation,Builtin,3,2000,0x7ff75b18f7d0,36,ArrayConstructor
code-creation,Builtin,3,2000,0x7ff75b18f810,413,ArrayConstructorImpl
code-creation,Builtin,3,2000,0x7ff75b18f9b0,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2000,0x7ff75b18fa90,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2000,0x7ff75b18fb70,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b18fc30,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b18fcf0,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b18fdb0,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b18fe70,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b18ff50,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b190030,541,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2000,0x7ff75b190250,505,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,2000,0x7ff75b190450,465,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b190630,429,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b1907f0,465,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b1909d0,429,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b190b90,473,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b190d70,437,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2000,0x7ff75b190f30,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,2000,0x7ff75b190f90,12,ArrayConcat
code-creation,Builtin,3,2000,0x7ff75b190fb0,12,ArrayPrototypeFill
code-creation,Builtin,3,2000,0x7ff75b190fd0,962,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2000,0x7ff75b1913b0,148,ArrayIncludesPackedDoubles
